名前,種類,経度,緯度
九十九里ハーブガーデン,QRCode,140.442997545613,35.5462050854432
ギャラリー ＆ カフェ　船形倉庫,QRCode,139.843661796164,35.02585255998
御菓子処 扇屋,QRCode,140.0460618,35.7322956
御菓子司 麻布 菊園,QRCode,140.167047516808,35.641123442417
大川園千城台店,QRCode,140.189126848346,35.6228185436405
tronc,QRCode,139.900388396203,35.8582074621729
清本園本店,QRCode,140.114984702671,35.637474395047
猟師工房ドライブイン,QRCode,140.068995593009,35.1975294841567
水郷のとりやさん　須田本店,QRCode,140.6033162,35.8538222
オーシャンテーブル,QRCode,140.100274480848,35.6052932568205
あかり館＠雑貨konocono,QRCode,139.900248038531,35.858613184273
キレドベジタブルアトリエ,QRCode,140.17344998868,35.629704504264
吾妻庵本店,QRCode,140.549585080852,35.7012820745533
ペッシェアズーロ～青い魚～,QRCode,140.306738725019,35.4279303044151
市原湖畔美術館,GPS,140.160741,35.34938
道の駅　和田浦WA・O！,GPS,140.02065,35.042614
マザー牧場,GPS,139.940846264362,35.2476803489248
道の駅　ながら,GPS,140.20676,35.457305
道の駅　鴨川オーシャンパーク,GPS,140.077087,35.063957
鋸山ロープウェー,GPS,139.823255,35.162229
かつうら海中公園,GPS,140.284238755703,35.1351943189541
道の駅　オライはすぬま,GPS,140.501533,35.602271
道の駅　みのりの郷東金,GPS,140.383011,35.577405
北総花の丘公園,GPS,140.1234155,35.800029
道の駅　いちかわ,GPS,139.9201251,35.75003346
道の駅　あずの里いちはら,GPS,140.109671,35.463891
道の駅　ちくら潮風王国,GPS,139.951981465565,34.9297572815167
大多喜町観光本陣,GPS,140.244363801612,35.2870539745195
横芝駅前情報交流館「ヨリドコロ」,GPS,140.491806,35.661485
道の駅　ローズマリー公園,GPS,139.9753059,35.0087397
千葉県立東庄県民の森,GPS,140.675505,35.782386
千葉ポートタワー,GPS,140.097889576163,35.6004047113066
空の駅　風和里しばやま,GPS,140.395077,35.731172
芝山町立芝山古墳・はにわ博物館,GPS,140.428515,35.693999
オーエンス八千代市民ギャラリー,GPS,140.113406299752,35.7286358105806
そうさ観光物産センター　匝りの里,GPS,140.550947,35.699172
