通し番号,時刻,名前,経度,緯度
001,2024年09月07日10時30分,戸定が丘歴史公園（戸定邸・戸定歴史館）,139.899087,35.777121
002,2024年09月07日11時11分,赤城神社,139.896023869514,35.8485654103006
003,2024年09月07日11時15分,一茶双樹記念館,139.895874,35.85012
004,2024年09月07日11時22分,流山万華鏡ギャラリー＆ミュージアム,139.898336,35.855359
005,2024年09月07日12時43分,清水公園,139.850597,35.959694
006,2024年09月07日13時33分,関根名人記念館,139.8205764,36.0258905
007,2024年09月07日14時19分,千葉県立関宿城博物館,139.782702,36.100535
008,2024年09月07日16時03分,こうのとりの里,139.92782,35.934947
009,2024年09月07日16時45分,旧吉田家住宅歴史公園,139.974147,35.896309
010,2024年09月07日17時03分,あけぼの山農業公園,140.0051869,35.8950545
011,2024年09月07日17時34分,我孫子インフォメーションセンター（アビシルベ）,140.0120574,35.872256
012,2024年09月07日17時39分,我孫子市杉村楚人冠記念館,140.017021,35.86898
013,2024年09月07日17時45分,天神坂,140.014521524995,35.867219134865
014,2024年09月07日17時53分,手賀沼公園,140.0145809,35.8654733
015,2024年09月07日18時11分,道の駅　しょうなん,140.0233865,35.8578188
016,2024年09月08日09時01分,市川市動植物園,139.965845160713,35.7644901586472
017,2024年09月08日09時24分,貝柄山公園,139.9948182,35.77259997
018,2024年09月08日09時59分,鎌ケ谷大仏,140.0132421,35.7589267
019,2024年09月08日10時48分,ふなばしアンデルセン公園,140.0581395,35.7589066
020,2024年09月08日11時38分,道の駅 やちよ,140.1067264,35.75859926
021,2024年09月08日13時31分,白井総合公園,140.059067262886,35.7927922505897
022,2024年09月08日15時21分,白井そろばん博物館,140.063403,35.798099
023,2024年09月08日15時29分,白井運動公園（白井市民プール）,140.070356726646,35.8139329445363
024,2024年09月08日15時59分,大六天展望エリア,140.1080625,35.8259375
025,2024年09月08日16時24分,印西市立木下交流の杜歴史資料センター,140.155258,35.83807
026,2024年09月08日17時21分,龍角寺古墳群・岩屋古墳,140.273841,35.823237
027,2024年09月08日17時21分,コスプレの館,140.273515284061,35.8232960303735
028,2024年09月08日17時21分,千葉県立房総のむら,140.272327,35.824611
029,2024年09月14日15時15分,DIC川村記念美術館,140.22279,35.655181
030,2024年09月14日17時02分,国立歴史民俗博物館,140.220431,35.723958
031,2024年09月14日17時43分,ひよどり坂,140.222085,35.716842
032,2024年09月14日17時46分,佐倉武家屋敷,140.225054,35.716667
033,2024年09月14日17時50分,麻賀多神社,140.226793,35.719304
034,2024年09月14日17時58分,塚本美術館,140.228321,35.718822
035,2024年09月14日17時59分,佐倉市立美術館,140.229674,35.719189
036,2024年09月14日18時07分,旧堀田邸（さくら庭園）,140.235877,35.714049
037,2024年09月14日18時12分,佐倉順天堂記念館,140.242844223976,35.7185428081267
038,2024年09月14日18時29分,本佐倉城跡,140.2591108,35.7282489
